,Song,Artist,Date,Year,Month,Day,Lyrics,Compound,Positive,Negative,Neutral
38,Shoo-Be-Doo-Be-Doo-Da-Day,Stevie Wonder,1968-04-16,1968,04,16,"Your precious sweetheart, she's so faithful She's so true, oh yeah Her dreams are tumblin', her world is crumblin' Because of you, uh uh One day you'll hurt her, just once too much And when you finally lose your tender touch  Hey, hey Shoo-be-doo-be-doo-be-doo-da-day Her feet may wander, her heart may stray, oh yeah Shoo-be-doo-be-doo-be-doo-da-day You're gonna send your baby straight to me  I'm gonna give her all the lovin' ...  ",0.9494,0.262,0.067,0.671
39,The Unknown Soldier,The Doors,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
40,Call Me Lightning,The Who,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
41,Mony Mony,Tommy James And The Shondells,1968-04-16,1968,04,16,"Here she come now, say ""Mony, Mony"" Well, shoot 'em down, turn around, come home, yeah Hey, she gives me love and I feel alright now Everybody! You got me tossin', turnin' in the middle of the night And I feel alright I say yeah (yeah), yeah (yeah), yeah (yeah), yeah (yeah), yeah (yeah) Well, you make me feel (Mony, Mony) So (Mony, Mony) Good (Mony, Mony) Yeah (Mony, Mony) So good (Mony, Mony) All right (Mony, Mony) Come on (Mony, Mony) All right, baby (Mony, Mony) I say yeah (yeah), yeah (yeah), yeah (yeah), yeah (yeah), yeah (yeah) ...  ",0.9883,0.367,0.019,0.614
42,Look To Your Soul,Johnny Rivers,1968-04-16,1968,04,16,"I nearly lost myself Tryin' to be someone else All of my life I've been playin' the game Gotta get out of myself, it seems Life's not real when you're in a dream Hang onto your head and give it a try  To live you must nearly die ...  ",-0.6369,0.039,0.121,0.84
43,"Me, The Peaceful Heart",Lulu,1968-04-16,1968,04,16,Sittin' in the shade of a rain soaked orange blossom Wonderin' which way I can turn my sorrow Now he's left me behind Countin' my bridges and wonderin' which way to cross 'em Thinkin' of a way I can stop myself from cryin'  Thinking 'bout love that brought us together Thinking 'bout love that keeps us apart Wonderin' why the stormy weather ...  ,0.5859,0.122,0.081,0.797
44,In Need Of A Friend,The Cowsills,1968-04-16,1968,04,16,"You say you know somebody Someone who feels down When you're feeling sad Who's up when you're glad  But I don't know anybody Haven't a person Don't know where I stand Gee, you're a lucky man  [CHORUS] Hey, I need a friend (I need a friend) Not just a wall that I talk to (I need a friend) But mind having doors I can walk through ...  ",0.7506,0.163,0.048,0.789
45,Foggy Mountain Breakdown,Flatt & Scruggs,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
46,Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,1968-04-16,1968,04,16,"Ain't nothing like the real thing, baby Ain't nothing like the real thing Ain't nothing like the real thing, baby Ain't nothing like the real thing  I got your picture hangin' on the wall It can't see or come to me when I call your name I realize it's just a picture in a frame  I read your letters when you're not near But they don't move me and they don't groove me ...  ",0.6469,0.102,0.0,0.898
47,Jumbo,Bee Gees,1968-04-16,1968,04,16,"Jumbo said to say goodnight, see you in the morning Please don't lose your appetite, he knows who is yawning Tomorrow you can climb a mountain Sail a sailboat through a fountain Jumbo said to say goodnight, he's a friend of yours  Play no games he'd say to me when the light is gone He is right he'd say to me, we know who is wrong ...  ",0.5938,0.14,0.073,0.787
48,Goodbye Baby (I Don't Want To See You Cry),Tommy Boyce & Bobby Hart,1968-04-16,1968,04,16,"She knew what she wanted I knew what I wanted too When I met her  I gave what she needed She gave what I needed too And I let her  I was too happy to notice that She needed more than to hold me Now she is holding somebody That she knew before and she told me  Goodbye, baby, bye bye ...  ",0.5719,0.064,0.0,0.936
49,Sherry Don't Go,The Lettermen,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
50,You've Still Got A Place In My Heart,Dean Martin,1968-04-16,1968,04,16,If the one you think is true Ever turns his back on you You've still got a place in my heart  If the years should make you cry Don't go on and live a lie You've still got a place in my heart ...  ,-0.0772,0.062,0.069,0.869
51,Do You Know The Way To San José,Dionne Warwick,1968-04-16,1968,04,16,"Do you know the way to San Jose? I've been away so long I may go wrong and lose my way Do you know the way to San Jose? I'm going back to find Some peace of mind in San Jose  LA is a great big freeway Put a hundred down and buy a car In a week, maybe two, they'll make you a star Weeks turn into years, how quick they pass And all the stars that never were Are parking cars and pumping gas ...  ",0.5204,0.101,0.064,0.836
52,Red Red Wine,Neil Diamond,1968-04-16,1968,04,16,"  Red, red wine Go to my head Make me forget that I Still need her so  Red, red wine It's up to you ...  ",-0.2263,0.0,0.079,0.921
53,I Wanna Live,Glen Campbell,1968-04-16,1968,04,16,Flowers have blooms The ocean has waves The sky has clouds People have babes I wanna live till I get old I wanna watch all of this grow  ...  ,0.0,0.0,0.0,1.0
54,Suddenly You Love Me,The Tremeloes,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
55,I Can't Believe I'm Losing You,Frank Sinatra,1968-04-16,1968,04,16,"Is this the way our romance ends I got the message when you said we could be friends My love was true, I can't believe I'm losing you. We played a game, of give and take ...  ",0.9537,0.395,0.0,0.605
