,Song,Artist,Date,Year,Month,Day,Lyrics,Compound,Positive,Negative,Neutral
27,Amen,Otis Redding,1968-07-21,1968,07,21,"Amen, uh, A-Amen, uh A-Amen, Amen, Amen, with the horns, now Amen, with the rhythm, now A-Amen, A-Amen A-Amen, Amen, Amen, everybody, now A-Amen, A-Amen A-Amen, Amen, Amen, let me tell you  This little light of mine I'm gonna let it shine This little light of mine I'm gonna let it shine, yeah, yeah  ...  ",0.5267,0.077,0.0,0.923
28,Journey To The Center Of The Mind,The Amboy Dukes,1968-07-21,1968,07,21,Leave your cares behind Come with us and find The pleasures of a journey to the center of the mind  Come along if you care Come along if you dare Take a ride to the land inside of your mind  Beyond the seas of thought Beyond the realm of what Across the streams of hopes and dreams where things are really not ...  ,0.9246,0.206,0.017,0.777
29,D. W. Washburn,The Monkees,1968-07-21,1968,07,21,"D.W. Washburn, I heard a sweet voice say. D.W. Washburn, this is your lucky day. A hot bowl of soup is waitin'. A hot bowl of soup and a shave. D.W. Washburn, we picked you to say.  Can't you hear the bugle call? Can't you hear the bells? Even you can be reborn, you naughty If you don't get out of that gutter, before the next big rain. D.W. Wahsburn, you're gonna wash right down the drain.  Up, up, come on get up off your street. If you can only make it from your hands to your knees, I know you can make it to your feet. Wooah! D.W. Washburn, I said to myself. D.W. Washburn, why don't you go save sombody else?  Well, I got no job to go to. I don't work and I don't get paid. I got a bottle of wine, I'm feelin' fine. And I believe I got it made.  ...  ",0.6912,0.07,0.032,0.899
30,Sealed With A Kiss,Gary Lewis And The Playboys,1968-07-21,1968,07,21,'Tho we gotta say goodbye for the summer Darling I promise you this I'll send you all my love every day in a letter sealed with a kiss Guess it's gonna be a cold lonely summer But I'll fill the emptiness I'll send you all my love every day in a letter sealed with a kiss ...  ,0.9403,0.293,0.079,0.628
31,Here I Am Baby,The Marvelettes,1968-07-21,1968,07,21,"Here I am, baby The one who swore to never yield Here I am, baby The one who swore to play the field  Said I wouldn't let no man tie me down, not a single one now Wasn't gonna ever give my heart to a mother's son now Many a day I proudly stated the man for me ain't been created  But here I am, baby The one who was so love defiant ...  ",0.8843,0.172,0.051,0.777
32,Dreams Of The Everyday Housewife,Glen Campbell,1968-07-21,1968,07,21,"She looks in the mirror and stares at the wrinkles That weren't there yesterday And thinks of the young man that she almost married What would he think if he saw her this way?  She picks up her apron in little girl-fashion As something comes into her mind Slowly starts dancing remembering her girlhood And all of the boys she had waiting in line  Oh, such are the dreams of the everyday housewife You see everywhere any time of the day ...  ",0.4019,0.032,0.0,0.968
33,The Eyes Of A New York Woman,B.J. Thomas,1968-07-21,1968,07,21,I'll be in New York City When the lights shine bright tonight Where my woman waits for me Arms that hold me tenderly Lips as sweet as honeycomb Love that waits for me alone Deep in the eyes of a New York woman  The eyes of a New York woman Are eyes that can hold a man She swept me off of my feet Made my world seem so complete I'll never have to look for more I found what I've been lookin' for ...  ,0.8979,0.142,0.022,0.836
34,You Keep Me Hangin' On,The Vanilla Fudge,1968-07-21,1968,07,21,"Set me free, why don't you babe Get out'my life, why don't you babe You really don't want me You just keep me hangin' on You really don't need me You just keep me hangin' on  Why do you keep coming around Playing with my heart Why don't you get out of my life And let me try to make a new start Let me get over you The way you've gotten over me ...  ",0.5573,0.066,0.019,0.915
35,It Should Have Been Me,Gladys Knight And The Pips,1968-07-21,1968,07,21,"I saw my love walking down the aisle And as he passed me by He turned to me and gave me a smile  Then the preacher, then the preacher The preacher joined their hands And all the people, the people began to stand When I shouted  ""You know that it should have been me"" Instead of her walking with you You know that it should have been me, oh baby Gettin' ready to marry you, darlin', darlin', darlin'  You made a promise that we would never part ...  ",0.8885,0.126,0.0,0.874
36,Can't You See Me Cry,The New Colony Six,1968-07-21,1968,07,21,And when I spend my hours looking at your window And when I see you pass by I begin to feel you near me Still I know that you won't hear me  Won't you love me Don't you need me Can't you see me cry  And as I watch you draw your shade when night is falling I want to call your name and blame you For the wasted days I can't see you through the haze ...  ,-0.9075,0.016,0.171,0.813
37,Halfway To Paradise,Bobby Vinton,1968-07-21,1968,07,21,"I want to be your lover But your friend is all I've stayed I'm only halfway to paradise So near, yet so far away  I long for your lips to kiss my lips But just when I think they may You lead me halfway to paradise ...  ",0.9612,0.339,0.0,0.661
38,Yesterday's Dreams,Four Tops,1968-07-21,1968,07,21,"Yesterday's dreams today are sorrow Just like your love, girl, fading away Yesterday's love won't last till tomorrow I know you're leaving, but what can I say? Oh (oh) wish that I could find a way To make you stay; I've got to prove to you That I love you, I need you, oh how I need you Don't go (don't go) don't go (don't go) If you go, don't you know ...  ",0.9428,0.229,0.028,0.744
39,The Story Of Rock And Roll,The Turtles,1968-07-21,1968,07,21,"Well, it started out and went down south Took a left, turned and headed on out It was movin' along very slowly, now 'Cause it was travelin' by word of mouth Made a short stop at New Orleans Then, it headed for the New York scene And the people there, they dug on it 'Cause they found out just what it means, yeah to have  Rock 'n' roll music Sweet groovy music Well, it's the only kind of music, yeah That reaches right into your soul, yeah ...  ",0.8689,0.158,0.023,0.819
40,Alice Long (You're Still My Favorite Girlfriend),Tommy Boyce & Bobby Hart,1968-07-21,1968,07,21,Tommy Boyce Miscellaneous Alice Long You're still my favorite girlfriend Alicew Long And I don't forget about you When you're gone Even though right now you feel you don't belong You're still my favorite girlfriend Alice Long We both agreed that to get along To talk things over as they come up So if you think we don't see each other enough ...  ,0.8301,0.144,0.0,0.856
41,(Love Is Like A) Baseball Game,The Intruders,1968-07-21,1968,07,21,"Love is just like a baseball game Three strikes you're out  Up to bat I thought I hit a love run But to my surprise I found I didn't hit none  Threw her love so fast She put me in a daze Never knew that love Could come so many ways  Strike one - She took me by surprise Strike two - Right in front of my eyes Strike three - Oh, I was out without a doubt Oh, I was out  Love is just like a baseball game Three strikes you're out ...  ",0.973,0.298,0.111,0.591
42,Love Makes A Woman,Barbara Acklin,1968-07-21,1968,07,21,"In the fire, it was burning Sweetheart, I know I shoulda be learning  But my pockets Were fill of money Yes, they were I had someone, yes, I did To call my honey  But it's love (sweet love) That makes a woman (That makes a woman) Yes, it's love (sweet love) That makes a woman (That makes a woman)  Something told me That this wouldn't last ...  ",0.9607,0.277,0.032,0.691
43,Baby You Come Rollin' Across My Mind,The Peppermint Trolley Company,1968-07-21,1968,07,21,"Ev'ry now and then, I see you again Baby you come rollin' across my mind Every once or twice when feeling's kinda nice Baby you come rollin' across my mind Baby you come rollin' across my mind  Every other day, since you've been away Baby you come rollin' across my mind When I think I'm free if you sneak up on me Baby you come rollin' across my mind ...  ",0.701,0.081,0.0,0.919
44,"Be Young, Be Foolish, Be Happy",The Tams,1968-07-21,1968,07,21,"[ 1: Reveal  My temper was blazing hot so you could say I changed a lot from the old me Ain't forgot what I gained from the block it just didn't mould me  I'm the same age as an OZ Gained status as OG  Never been a game its a sport and had my own team Stayed on the block wid no sleep  Blade tucked in my coat sleeve Lots changed since then but back in the day was so peak Whatchu know about the persil bag wid the grams in it? You never ran the block fam you jus ran in it  You was the youth my mates would send to the store for lucazade I was the youth who knew the way to get hands on a few grenades But I was young n foolish then now that I'm older my views have changed And when i see these moody youths I try move em thru what the music says Changed mental state and rearranged it Cause as a younger man I stayed on that deranged shit To make sure you get the picture I woulda blown you out the frame quick Left you like a Picasso, swollen eyes and outta place lips  I was young and foolish Young and foolish  ...  ",-0.958,0.036,0.132,0.832
45,Hard To Handle,Otis Redding,1968-07-21,1968,07,21,"!. Hey Here I am I'm the man on the scene I can give you what you want But you got to come home with me I forgot some good old lovin' And I got some more in store When I get to throw it on you You got to come back for more  Toys and things that come by the dozen That ain't nothin' but drug store lovin' Hey little thing, let me light your candle' Cause mama I'm sure hard to handle, now, gets around  Action speaks louder than words And I'm a man of great experience I know you got another man But I can love you better than him Take my hand, don't be afraid I'm gonna prove every word I say I'm advertisin' love for free So, you can place your ad with me  Once it come along a dime by the dozen That ain't nothin' but ten cent lovin' Hey little thing, let me light your candle' Cause mama I'm sure hard to handle, now, gets around Yeah, hard to handle, now  Oh, baby Baby, here I am The man on your scene I can give you what you want ...  ",0.9915,0.199,0.022,0.779
46,The Impossible Dream,Roger Williams,1968-07-21,1968,07,21,"Born free, as free as the wind blows As free as the grass grows Born free to follow your heart  Live free and beauty surrounds you The world still astounds you Each time you look at a star  ...  ",0.9732,0.43,0.0,0.57
47,Understanding,Ray Charles,1968-07-21,1968,07,21,"* Understanding is the best thing in the world,  between a boy and a girl    boy and girl and even a woman or a man, its always  better when you realy understand    1) You know Understanding is a mighty powerful thing,  thats why it makes me so sad  when I see my friends wandering aroung thru the world , never knowing the meaning of the word  Understanding, so in the next few minutes, Im gonna  try to explain just exactly what it means  now wait a minute, listen, for instance, you take me  and my old lady, we gotta good thing goin ...  ",0.8981,0.147,0.037,0.816
48,I Get The Sweetest Feeling,Jackie Wilson,1968-07-21,1968,07,21,The closer you Bet the better you look baby  The better you look the more I want you  When you tvrn on your smile I feel my heart go wild  I'm like a child with a brand-new toy.  And I get the sweetest feeling  Honey the sweetest - sweetest feeling - Baby the sweetest - sweetest feeling - loving you ...  ,0.9501,0.326,0.0,0.674
49,Slip Away,Clarence Carter,1968-07-21,1968,07,21,"What would I give for just a few moments what would i give just to have you near tell me you will try to slip away somehow Oh I need you darling I want to see you right now Can you slip away, slip away Slip away, oh i need you so Love oh love, how sweet it is When you steal it, darling ...  ",0.9614,0.282,0.042,0.676
50,D-I-V-O-R-C-E,Tammy Wynette,1968-07-21,1968,07,21,Our little boy is four years old and quite a little man So we spell out the words we don't want him to understand Like T-O-Y or maybe S-U-R P-R-I-S-E But the words we're hiding from him now Tear the heart right out of me.  Our D-I-V-O-R-C-E; becomes final today Me and little J-O-E will be goin' away ...  ,0.0201,0.041,0.056,0.903
51,Two-Bit Manchild,Neil Diamond,1968-07-21,1968,07,21,"I'm walkin' But I'm going nowhere at all I'm 'bout to head any place in the world But the place that I am  I'm talkin' Hey, heh, heh But baby, you don't understand Na na na na na na na na na  Bad times, I can't take 'em Good times, got to make 'em Got to find 'em, got to taste 'em Hey, and I do, I say I do Mama I do  Two bit manchild I was Born for nothin' mostly ...  ",-0.7967,0.0,0.112,0.888
52,Tuesday Afternoon (Forever Afternoon),The Moody Blues,1968-07-21,1968,07,21,Tuesday afternoon I'm just beginning to see Now I'm on my way It doesn't matter to me Chasing the clouds away  Something calls to me The trees are drawing me near I've got to find out why Those gentle voices I hear ...  ,0.4265,0.066,0.024,0.91
53,Mrs. Bluebird,Eternity's Children,1968-07-21,1968,07,21,"Ba ba ba ba...  Mrs. Bluebird on my shoulder How's your life since you've gotten older How's Mr. Bluebird, is he well Keep him warm through the cold spell  ...  ",0.4588,0.125,0.0,0.875
54,(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,1968-07-21,1968,07,21,"Ya me he olvidado de cuando yo era niño Ya no recuerdo que era la felicidad El tiempo pasa, nada tiene sentido No sé por qué aquella tarde, yo deje de existir La melodía hace que este calmado Paso los días viendo a los niños reír ...  ",-0.5267,0.0,0.091,0.909
55,Competition Ain't Nothin',Little Carl Carlton,1968-07-21,1968,07,21,"I used to worry cause another fella Tried to steal my girl away I used to toss and turn All through the night The thought of it kept me awake  Every time she walked by him She was all in his eye She set him straight, she told him I had to be her only guy  That's why I said Competition ain't nothing, y'all If you got a love that's true Competition ain't nothing, boy They just keep on loving you ...  ",0.7717,0.142,0.068,0.79
56,Don't Give Up,Petula Clark,1968-07-21,1968,07,21,"When love seems to get you down When you can't turn around and run You've got to stop and face the fact That the heartaches have just begun Because you need love, you need love Keep on till you know what you've won yeah!  CHORUS: Don't give up, don't let it get you down Don't give up, don't think of leaving town Don't give up, don't run away from it Love will be yours in the end, my friend  When someone is on your mind ...  ",0.9776,0.246,0.021,0.733
57,Happy,Nancy Sinatra,1968-07-21,1968,07,21,Lonliness is nothin' new I've lived with it my whole life through So look out gloom I'm makin' room for happy happy  Through with walkin' sadness street I'm dancin' on these smilin' feet ...  ,0.1621,0.168,0.153,0.679
58,You're All I Need To Get By,Marvin Gaye & Tammi Terrell,1968-07-21,1968,07,21,"You're all I need to get by. Like the sweet morning dew, I took one look at you, And it was plain to see, You were my destiny. With my arms open wide, I threw away my pride I'll sacrifice for you Dedicate my life for you  I will go where you lead Always there in time of need And when I lose my will You'll be there to push me up the hill ...  ",0.6369,0.103,0.035,0.862
59,"1, 2, 3, Red Light",1910 Fruitgum Co.,1968-07-21,1968,07,21,"Ev'ry time I try to prove I love you 1, 2, 3, red light, you stop me Baby, you ain't right to stop me 1, 2, 3, red light, you stop me  Ev'ry time I make a move to love you 1, 2, 3, red light, you stop me Baby, ev'ry night you stop me 1, 2, 3, red light  Stop the game ...  ",-0.2023,0.114,0.179,0.707
60,Breaking Up Is Hard To Do,The Happenings,1968-07-21,1968,07,21,Breaking up is hard to do...   Don't take your love away from me Don't you leave my heart in misery. If you go then I'll be blue Cause breakin' up is hard to do.  Remember when you held me tight ...  ,-0.828,0.024,0.21,0.766
61,Somebody Cares,Tommy James And The Shondells,1968-07-21,1968,07,21,"If you think I'd ever leave you, Girl, you're wrong, I'd never want to. And how could you know that my love is real? A-take this kiss, and you'll know how I feel.  [Chorus] Somebody cares, and I'm gonna make you see. ...  ",0.7862,0.201,0.106,0.693
62,I've Never Found A Girl (To Love Me Like You Do),Eddie Floyd,1968-07-21,1968,07,21,"Ain't no love, ain't no love, like my baby's love It's like burnin' fire, set off in my bones Ain't no lonely days, ain't no lonely lonely lonely nights Every little thing that she does I know the girl's alright  'Cause I ain't never, never, found me a girl Love me like you do, to love me like you do ...  ",-0.6273,0.26,0.284,0.456
63,Just A Little Bit,Blue Cheer,1968-07-21,1968,07,21,"(Dickie Peterson) I feel good sensation And I been lifted child by your soul creation Don't you stop just to look away I want you to listen, child, to what I say.   Don't you drift away too far Out of sad times, just exactly where you are It's just too much the way I feel I just can't believe that I'm not real.   ...  ",0.4745,0.127,0.048,0.824
64,Life,Sly & The Family Stone,1968-07-21,1968,07,21,"Life, life Clouds and clowns You don't have to come down  Life, life Tell it like it is You don't have to die before you live  You might get angry sometimes But don't let it turn you around All you gotta do is get your livin' now  Life, life Clouds and clowns You don't have to come down ...  ",0.3283,0.087,0.051,0.862
65,I'm Gonna Do What They Do To Me,B.B. King,1968-07-21,1968,07,21,The next woman I get She gotta have job I'm not tryin' to be no pimp I just don't intend to work to hard I won't have to buy the groceries She gotta pay the rent She gotta fill up my car every day And give me account of every dime she spend  I made up my mind If this is the way life has gotta be I'm gonna do the same thing The same thing they been doing to me  ...  ,-0.4588,0.0,0.062,0.938
66,I Loved And I Lost,The Impressions,1968-07-21,1968,07,21,What do you know about it Who had told you so It makes no difference The whole world can know I loved and I lost It happens to the best So I loved and I lost And I may as well confess ...  ,0.8417,0.27,0.135,0.594
67,Mr. Bojangles,Jerry Jeff Walker,1968-07-21,1968,07,21,"I knew a man bojangles and he danced for you in worn out shoes silver hair, a ragged shirt and baggy pants the old soft shoe He jumped so high he jumped so high then he'd lightly touched down Mr bojangles mr bojangles mr bojangles dance I met him in a cell in new orleans i was down and out he looked to me to be the eyes of age as he spoke right out He talked of life he talked of life ...  ",-0.296,0.0,0.028,0.972
68,Never Going Back,The Lovin' Spoonful,1968-07-21,1968,07,21,"Every time I see that Greyhound Bus go rollin' down the line Makes me wish I talked much more to you When we had all that time  Still, it's only wishin' and I know it's nothing more, so I'm Never going back, never going back, never going back Ah, to Nashville anymore  Oklahoma City, yes I know that she won't treat me cruel ...  ",0.7363,0.127,0.034,0.839
69,Aquarius/Let The Sunshine In,The 5th Dimension,1969-05-09,1969,05,09,When the moon is in the Seventh House And Jupiter aligns with Mars Then peace will guide the planets And love will steer the stars This is the dawning of the Age of Aquarius Age of Aquarius Aquarius Aquarius Aquarius Aquarius Harmony and understanding Sympathy and trust abounding No more falsehoods or derisions Golden living dreams of visions Mystic crystal revelation And the mind's true liberation Aquarius! Aquarius Aquarius! Aquarius  ...  ,0.9682,0.274,0.025,0.701
70,Hair,The Cowsills,1969-05-09,1969,05,09,"She asks him why ""Why I'm a hairy guy?"" I'm hairy noon and nighty-night night My hair is a fright I'm hairy high and low But don't ask me why 'Cause he don't know It's not for lack of bread Like the Grateful Dead Darlin'  Gimme a head with hair Long, beautiful hair Shining, gleaming Streaming, flaxen, waxen  Give me down to there (Hair!) Shoulder length or longer hair (Hair!) Here baby, there mama Everywhere daddy daddy  Hair (Hair! Hair! Hair! Hair! Hair! Hair!) Grow it, show it Long as I can grow it My hair  I let it fly in the breeze And get caught in the trees ...  ",0.5469,0.105,0.075,0.82
